cosine_feature,count_feature,hr_std,hr_mean,time_feature,psg_label,count_feature_lag_1,count_feature_lag_2,hr_std_lag_1,hr_std_lag_2,hr_mean_lag_1,hr_mean_lag_2,hr_mean_delta
-0.263031,22.570999,0.49723,0.522277,0.016667,0,31.640606,38.634412,0.514774,0.524519,0.492192,0.476175,0.5932201705166118
-0.265135,19.341522,0.489079,0.54435,0.025,0,22.570999,31.640606,0.49723,0.514774,0.522277,0.492192,0.6646891173255964
-0.267238,21.960207,0.482398,0.568079,0.033333,0,19.341522,22.570999,0.489079,0.49723,0.54435,0.522277,0.5896797669428514
-0.26934,23.748017,0.465207,0.601221,0.041667,0,21.960207,19.341522,0.482398,0.489079,0.568079,0.54435,0.7203088574693787
-0.27144,19.761946,0.429916,0.63939,0.05,0,23.748017,21.960207,0.465207,0.482398,0.601221,0.568079,0.8907202828197316
-0.27354,11.934657,0.396868,0.663943,0.058333,0,19.761946,23.748017,0.429916,0.465207,0.63939,0.601221,0.7893585285029593
-0.275637,5.16166,0.401716,0.65272,0.066667,0,11.934657,19.761946,0.396868,0.429916,0.663943,0.63939,0.20646648411898272
-0.277734,1.592834,0.384375,0.62766,0.075,0,5.16166,11.934657,0.401716,0.396868,0.65272,0.663943,-0.37903365756433
-0.279829,0.350075,0.331947,0.594889,0.083333,0,1.592834,5.16166,0.384375,0.401716,0.62766,0.65272,-0.6333290449223219
-0.281923,0.054713,0.273137,0.566391,0.091667,0,0.350075,1.592834,0.331947,0.384375,0.594889,0.62766,-0.6739020698776211
-0.284015,0.006073,0.260579,0.559851,0.1,0,0.054713,0.350075,0.273137,0.331947,0.566391,0.594889,-0.3643409827332234
-0.286106,0.000497,0.263508,0.573868,0.108333,0,0.006073,0.054713,0.260579,0.273137,0.559851,0.566391,0.137393210394911
-0.288196,0.000273,0.243641,0.595796,0.116667,0,0.000497,0.006073,0.263508,0.260579,0.573868,0.559851,0.47335390685431766
-0.290285,0.00219,0.212001,0.613175,0.125,0,0.000273,0.000497,0.243641,0.263508,0.595796,0.573868,0.5130300295709299
-0.292372,0.013705,0.223314,0.602858,0.133333,0,0.00219,0.000273,0.212001,0.243641,0.613175,0.595796,0.1324956521178746
-0.294457,0.06056,0.22029,0.579671,0.141667,0,0.013705,0.00219,0.223314,0.212001,0.602858,0.613175,-0.3462377191260595
-0.296542,0.189013,0.208484,0.560412,0.15,0,0.06056,0.013705,0.22029,0.223314,0.579671,0.602858,-0.45176534831462284
-0.298624,0.416834,0.207511,0.553825,0.158333,0,0.189013,0.06056,0.208484,0.22029,0.560412,0.579671,-0.25586301723319305
-0.300706,0.649727,0.206062,0.55605,0.166667,0,0.416834,0.189013,0.207511,0.208484,0.553825,0.560412,-0.0023229159709362134
-0.302786,0.715929,0.201097,0.562136,0.175,0,0.649727,0.416834,0.206062,0.207511,0.55605,0.553825,0.1472355323299647
-0.304864,0.557694,0.204933,0.555452,0.183333,0,0.715929,0.649727,0.201097,0.206062,0.562136,0.55605,0.04209734753451441
-0.306941,0.307091,0.212658,0.541007,0.191667,0,0.557694,0.715929,0.204933,0.201097,0.555452,0.562136,-0.20019607170842654
-0.309017,0.119504,0.221325,0.519273,0.2,0,0.307091,0.557694,0.212658,0.204933,0.541007,0.555452,-0.37780631765875966
-0.311091,0.032854,0.236511,0.490717,0.208333,0,0.119504,0.307091,0.221325,0.212658,0.519273,0.541007,-0.5443351004232219
-0.313164,0.006378,0.25676,0.46186,0.216667,0,0.032854,0.119504,0.236511,0.221325,0.490717,0.519273,-0.6283960826095488
-0.315235,0.000874,0.267025,0.449473,0.225,0,0.006378,0.032854,0.25676,0.236511,0.46186,0.490717,-0.4375801313290882
-0.317305,8.4e-05,0.268988,0.445527,0.233333,0,0.000874,0.006378,0.267025,0.25676,0.449473,0.46186,-0.14359681990923776
-0.319373,6e-06,0.26748,0.426277,0.241667,0,8.4e-05,0.000874,0.268988,0.267025,0.445527,0.449473,-0.22458945233163888
-0.321439,0.0,0.253778,0.391942,0.25,0,6e-06,8.4e-05,0.26748,0.268988,0.426277,0.445527,-0.5832205330083612
-0.323505,0.0,0.228241,0.353619,0.258333,0,0.0,6e-06,0.253778,0.26748,0.391942,0.426277,-0.8083075908828264
-0.325568,0.0,0.193004,0.316482,0.266667,0,0.0,0.0,0.228241,0.253778,0.353619,0.391942,-0.8413749602617526
